"centre"
"{""x"":-2.9396777560573013,""y"":43.271157163906985}"
"{""x"":-2.939060190141168,""y"":43.2711571622459}"
"{""x"":-2.9396777560573013,""y"":43.27070750310402}"
"{""x"":-2.9402953219734345,""y"":43.2711571622459}"
"{""x"":-2.939060190141168,""y"":43.27070750144294}"
"{""x"":-2.9402953219734345,""y"":43.271606823048856}"
"{""x"":-2.9402953219734345,""y"":43.27070750144294}"
"{""x"":-2.939060190141168,""y"":43.27025784063998}"
"{""x"":-2.9396777560573013,""y"":43.27205648551291}"
"{""x"":-2.9384426242251025,""y"":43.271157157262635}"
"{""x"":-2.9396777560573013,""y"":43.27025784230107}"
"{""x"":-2.9409128878895,""y"":43.271157157262635}"
"{""x"":-2.9384426242251025,""y"":43.27160681806559}"
"{""x"":-2.9384426242251025,""y"":43.27070749645968}"
"{""x"":-2.9384426242251025,""y"":43.27025783565672}"
"{""x"":-2.9409128878895,""y"":43.27025783565672}"
"{""x"":-2.9378250583091714,""y"":43.271157148957194}"
"{""x"":-2.941530453805431,""y"":43.271157148957194}"
"{""x"":-2.9378250583091714,""y"":43.27160680976015}"
"{""x"":-2.9378250583091714,""y"":43.27070748815423}"
"{""x"":-2.941530453805431,""y"":43.27070748815423}"
