+-------+---------------------+---------------------+---------+
| id    | start_datetime      | end_datetime        | cell_id |
+-------+---------------------+---------------------+---------+
| 38664 | 2023-06-28 09:13:29 | 2023-06-28 17:13:28 |    2535 |
| 38665 | 2023-06-28 17:13:29 | 2023-06-29 01:13:28 |    2535 |
| 38666 | 2023-06-29 01:13:29 | 2023-06-29 09:13:28 |    2535 |
| 38667 | 2023-06-29 09:13:29 | 2023-06-29 17:13:28 |    2535 |
| 38668 | 2023-06-29 17:13:29 | 2023-06-30 01:13:28 |    2535 |
| 38669 | 2023-06-30 01:13:29 | 2023-06-30 09:13:28 |    2535 |

| 38670 | 2023-06-28 09:13:29 | 2023-06-28 17:13:28 |    2536 |
| 38671 | 2023-06-28 17:13:29 | 2023-06-29 01:13:28 |    2536 |
| 38672 | 2023-06-29 01:13:29 | 2023-06-29 09:13:28 |    2536 |
| 38673 | 2023-06-29 09:13:29 | 2023-06-29 17:13:28 |    2536 |
| 38674 | 2023-06-29 17:13:29 | 2023-06-30 01:13:28 |    2536 |
| 38675 | 2023-06-30 01:13:29 | 2023-06-30 09:13:28 |    2536 |

| 38676 | 2023-06-28 09:13:29 | 2023-06-28 17:13:28 |    2537 |
| 38677 | 2023-06-28 17:13:29 | 2023-06-29 01:13:28 |    2537 |
| 38678 | 2023-06-29 01:13:29 | 2023-06-29 09:13:28 |    2537 |
| 38679 | 2023-06-29 09:13:29 | 2023-06-29 17:13:28 |    2537 |
| 38680 | 2023-06-29 17:13:29 | 2023-06-30 01:13:28 |    2537 |
| 38681 | 2023-06-30 01:13:29 | 2023-06-30 09:13:28 |    2537 |

| 38682 | 2023-06-28 09:13:29 | 2023-06-28 17:13:28 |    2538 |
| 38683 | 2023-06-28 17:13:29 | 2023-06-29 01:13:28 |    2538 |
| 38684 | 2023-06-29 01:13:29 | 2023-06-29 09:13:28 |    2538 |
| 38685 | 2023-06-29 09:13:29 | 2023-06-29 17:13:28 |    2538 |
| 38686 | 2023-06-29 17:13:29 | 2023-06-30 01:13:28 |    2538 |
| 38687 | 2023-06-30 01:13:29 | 2023-06-30 09:13:28 |    2538 |


| 38688 | 2023-06-28 09:13:29 | 2023-06-28 17:13:28 |    2539 |
| 38689 | 2023-06-28 17:13:29 | 2023-06-29 01:13:28 |    2539 |
| 38690 | 2023-06-29 01:13:29 | 2023-06-29 09:13:28 |    2539 |
| 38691 | 2023-06-29 09:13:29 | 2023-06-29 17:13:28 |    2539 |
| 38692 | 2023-06-29 17:13:29 | 2023-06-30 01:13:28 |    2539 |
| 38693 | 2023-06-30 01:13:29 | 2023-06-30 09:13:28 |    2539 |
